Zona_Num_N;y_coord;x_coord
609;4.567508278;-74.10458578
610;4.570336276;-74.10800835
611;4.572974114;-74.11570997
612;4.579175677;-74.11633863
613;4.578271169;-74.12045431
614;4.584142088;-74.1233592
615;4.583073095;-74.12787086
616;4.582878999;-74.13269822
617;4.581154943;-74.13575818
618;4.5817256;-74.14052268
619;4.576805327;-74.14539233
620;4.584072118;-74.15450975
621;4.584599047;-74.16488477
622;4.58660807;-74.1772195
623;4.582376686;-74.17603869
624;4.579214338;-74.17356775
625;4.578043673;-74.16638772
626;4.574558409;-74.15914246
627;4.57815719;-74.15308604
628;4.573873177;-74.14991163
629;4.571085949;-74.14406348
630;4.571340058;-74.14056027
631;4.576471295;-74.13583643
632;4.571843651;-74.13438048
633;4.574352975;-74.12818872
634;4.575581329;-74.12508071
635;4.573525321;-74.12068665
636;4.569087752;-74.12069219
637;4.569417444;-74.11203873
638;4.565464644;-74.10848882
639;4.563075607;-74.10270057
640;4.556295307;-74.09965366
641;4.553630552;-74.09540185
642;4.556646867;-74.09335526
643;4.553214794;-74.08882381
644;4.551169428;-74.09221412
645;4.550798674;-74.08329815
646;4.549223764;-74.07894797
647;4.544292817;-74.07732657
648;4.545397412;-74.08099297
649;4.54786495;-74.08702337
650;4.551127213;-74.09965819
651;4.550482101;-74.10688883
652;4.553807322;-74.1039178
653;4.552454528;-74.11413068
654;4.558459399;-74.11395545
655;4.564646241;-74.11410848
656;4.560258394;-74.11843483
657;4.566909986;-74.13076431
658;4.563269371;-74.13494295
659;4.565525558;-74.13939305
660;4.564410604;-74.14140565
661;4.56392092;-74.14491079
662;4.569532674;-74.15012564
663;4.563690824;-74.14902693
664;4.569009646;-74.15478158
665;4.571371703;-74.16381478
666;4.573576706;-74.17279497
667;4.566864295;-74.1686076
668;4.561027727;-74.16987163
669;4.56607113;-74.16125223
670;4.563635613;-74.15313973
671;4.562176483;-74.15449118
672;4.559650706;-74.14538921
673;4.559365752;-74.14193831
674;4.556445665;-74.14053281
675;4.560436148;-74.13662333
676;4.549734002;-74.1262427
677;4.561462427;-74.12797924
678;4.557357922;-74.12384689
679;4.555165552;-74.11930116
680;4.548766648;-74.11833532
681;4.543913724;-74.11509622
682;4.546345247;-74.10769185
683;4.541935038;-74.10897645
684;4.539067567;-74.10659782
685;4.524064048;-74.1006628
686;4.544139589;-74.0988428
687;4.547999723;-74.09661135
688;4.545407071;-74.09120714
689;4.539646611;-74.09271102
690;4.5422997;-74.08572506
691;4.536488911;-74.08724486
692;4.53202466;-74.08911555
693;4.529364168;-74.09257628
694;4.521228532;-74.0901522
695;4.524240457;-74.08601465
696;4.529644426;-74.08397316
697;4.533848748;-74.07935415
698;4.537312389;-74.08072073
699;4.541842766;-74.08138772
700;4.518212272;-74.09229997
701;4.512721072;-74.09174981
702;4.533490006;-74.1093445
703;4.53854296;-74.11503173
704;4.534283391;-74.12214568
705;4.539066908;-74.12740869
706;4.54542024;-74.13160418
707;4.550485213;-74.1343739
708;4.554616707;-74.13587265
709;4.550403587;-74.13839538
710;4.549988961;-74.14199373
711;4.555537443;-74.14583704
712;4.556467111;-74.1500912
713;4.555935926;-74.1550386
714;4.550637358;-74.16056933
715;4.550016457;-74.15314922
716;4.550349491;-74.14865801
717;4.547340437;-74.1452058
718;4.543061377;-74.14677891
719;4.540907455;-74.15029826
720;4.542403699;-74.15533857
721;4.542948106;-74.16138991
722;4.533303408;-74.15298628
723;4.535901757;-74.14803828
724;4.5401462;-74.14487014
725;4.535635049;-74.14195186
726;4.531169988;-74.14249908
727;4.541871912;-74.14014408
728;4.542829856;-74.13725098
729;4.536939426;-74.13445833
730;4.530323829;-74.12951086
731;4.53048882;-74.11793945
732;4.524857341;-74.12202741
733;4.523957587;-74.11659166
734;4.522831874;-74.11003421
735;4.516384898;-74.1130858
736;4.517673297;-74.11908838
737;4.520668836;-74.12508726
738;4.50224303;-74.13407068
739;4.509648108;-74.12424062
740;4.511893101;-74.11837523
741;4.508345645;-74.11882989
742;4.510850101;-74.11273846
743;4.511413877;-74.1074958
744;4.50786471;-74.10988613
745;4.505371222;-74.10014369
746;4.496155161;-74.0929799
747;4.505720656;-74.09097719
748;4.507445867;-74.08658852
749;4.500300493;-74.08572123
750;4.495770965;-74.09860833
751;4.498728325;-74.10301577
752;4.504769046;-74.10914874
753;4.503369762;-74.11961284
754;4.498546504;-74.11107694
755;4.492515872;-74.11307282
756;4.494037628;-74.11723046
757;4.495224947;-74.12019747
758;4.487467953;-74.12544218
759;4.486128062;-74.10787181
760;4.49133876;-74.10660258
761;4.488395434;-74.10021932
762;4.479254213;-74.09700997
763;4.474797781;-74.11440033
764;4.457351966;-74.13305568
765;4.596109905;-74.20155257
766;4.594706148;-74.19425966
767;4.589589944;-74.1881328
768;4.583426493;-74.18273899
769;4.574652491;-74.17926187
770;4.565148058;-74.18279744
771;4.565861248;-74.18663939
772;4.571349728;-74.18498372
773;4.58072341;-74.18974838
774;4.593893025;-74.20765578
775;4.583431901;-74.19735155
776;4.578354773;-74.19890828
777;4.578784231;-74.20599845
778;4.584714231;-74.21365088
779;4.578410168;-74.21257849
780;4.573068829;-74.21027787
781;4.569764477;-74.22038128
782;4.585111559;-74.22093754
783;4.586361874;-74.22858688
784;4.577371751;-74.23106203
785;4.567406251;-74.23347707
786;4.578603152;-74.24379004
787;4.568919591;-74.24443113
788;4.559161135;-74.23973878
789;4.547518392;-74.23371103
790;4.586075047;-74.2631775
791;4.668819838;-74.23676863
792;4.746917367;-74.20022975
793;4.806824251;-74.12620156
794;4.865255824;-74.02781835
794;4.879397654;-74.07733425
795;4.610472929;-74.03848075
796;4.069024297;-74.24984908
797;4.501260115;-74.15879939
798;4.485910514;-74.20732881
799;4.46477012;-74.26283348
800;4.159335009;-74.39282425
801;4.587683021;-74.47742368
802;4.691338552;-74.32639579
803;4.77444455;-74.25857408
804;4.838414008;-74.14627666
805;4.951452128;-74.08126658
806;4.90436331;-74.0138591
806;4.942257621;-74.03215011
806;4.887742308;-74.02343291
807;4.888189588;-73.96729679
808;4.698958056;-73.92192703
809;4.53840229;-73.8482481
810;4.270449388;-73.97343589
811;4.480771265;-74.69857771
812;4.961827683;-74.48397138
813;4.834855071;-74.33523991
814;4.977207941;-74.23883828
815;5.044728361;-74.02340138
816;4.96979404;-73.92624553
817;5.009149809;-73.87274353
818;5.035745748;-73.82913952
819;5.310179672;-74.57895047
820;5.403861044;-74.2697336
821;5.333083698;-73.82615874
822;5.108573133;-73.61588348
823;4.751948414;-73.62807377
824;4.494111727;-73.31301954
835;4.70922568;-74.13161663
836;4.738809547;-74.08081973
837;4.735578693;-74.07570406
838;4.735110496;-74.06466002
839;4.727656294;-74.07281467
840;4.750371807;-74.07993391
841;4.679409174;-74.09222191
842;4.676303729;-74.08920784
843;4.613087545;-74.08093022
844;4.628683134;-74.09294844
845;4.628280198;-74.06127986
846;4.647440414;-74.07696566
847;4.657929568;-74.0558437
848;4.65383524;-74.05842267
849;4.683563565;-74.05453919
850;4.688710517;-74.04940118
851;4.694624045;-74.04733323
852;4.700933811;-74.04616697
853;4.701910945;-74.06020298
854;4.732046085;-74.02137914
855;4.766513555;-74.06596078
900;4.708582637;-74.21582581
901;4.716483685;-74.20995365
902;4.731808369;-74.26590458
903;4.737290042;-74.34441349
904;4.811361301;-74.35103724
905;4.871679359;-74.1433399
906;4.809049697;-74.10259641
907;4.859377738;-74.05509449
908;4.917167511;-74.09704409
909;4.916305662;-74.02408397
910;5.025582668;-73.99631877
911;4.991532659;-73.87210336
912;4.965916847;-73.91213929
913;4.908617556;-73.94180682
914;4.721638299;-73.96873417
915;4.488134278;-74.2588454
916;4.523793331;-74.3299611
917;4.812308398;-74.22444215
